,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
124,Sales Clothing Store Retail,Drop The Shop ,7 hours ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,0 - 5 Yrs of Exp,Sales/Retail Fashion Fashion Retail Retail Quick Learner Sales sales skills Customer Service
125,Collection Officer,Travolic.LLc ,7 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Accounting/Finance Administration Accounting collections English Finance Microsoft Office
126,Sales Project Engineer,Outservingplus ,8 hours ago,"Badr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Engineering - Other business Communication Construction Engineering English Project Management Projects Sales sales skills
127,Odoo implementer,BBI,8 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development Agile JavaScript ERP Information Technology (IT) Computer Science Development PostgreSQL Odoo Python
128,Senior Merchandiser,Defacto ,8 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,7+ Yrs of Exp,Manufacturing/Production Production Product Development Product Management Merchandising Communication skills English Fashion Planning Textile
129,HR Internship,Defacto ,8 hours ago,"Cairo, Egypt ",Internship,Entry Level,Human Resources,Human Resources (HR) HR Recruitment
130,Front End Developer - React & Next.js,Travolic.LLc ,8 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Creative/Design/Art IT/Software Development Engineering - Telecom/Technology API Computer Science CSS3 front-end HTML5 JavaScript React
131,Assistant pharmacy (warehouse ),Mersal  ,8 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Administration Customer Service/Support Medical/Healthcare Pharmacy Customer Service
132,Graphic Design Intern ( Graduates only ),Injaz Digital  ,8 hours ago,"Heliopolis, Cairo, Egypt ",Internship,Entry Level,0 - 1 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Adobe illustrator Adobe Photoshop Graphic Design Fine Arts Design Communication Arts
133,Montessori & EYFS English Teachers,Kiddy Corner Nursery ,8 hours ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,Education/Teaching Training/Instructor Education Teaching Montessori Instructor Nursery
134,Senior Motion Graphic Designer / Video Editing,Egyptian Cultural Center ,8 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Motion illustrator Adobe Photoshop Fine Arts Editing Design Adobe illustrator
135,Microsoft Power BI Developer,Confidential ,8 hours ago,"Cairo, Egypt ",Full TimePart Time,Experienced,2 - 4 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology BI Developer BI Computer Science developer Information Technology (IT) Microsoft Microsoft Power BI
136,SAP ABAP Developer,Confidential ,8 hours ago,"Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Accounting/Finance IT/Software Development Engineering - Telecom/Technology ABAP Computer Science Information Technology (IT) SAP SAP ABAP
137,Product/Project Manager,Travolic.LLc ,8 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Senior Management,2 - 4 Yrs of Exp,IT/Software Development Project/Program Management Agile Market Research Product Management Project Management English business Computer Science Information Technology (IT)
138,Sales Buzz Application Consultant,Confidential ,8 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Business Development Customer Service/Support Computer Science Information Technology (IT) ERP Sales SQL ERP Applications Application Support
139,Proposal & Design Engineer - Water & Wastewater Treatment,Dar El Meyah For Supplies and Contracting ,8 hours ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Creative/Design/Art Engineering - Mechanical/Electrical Engineering AutoCAD Computer Skills Mechanical Engineering Chemistry Water Treatment Wastewater
140,Accounting Manager,Horeca Smart ,8 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,Accounting/Finance Accounting Accounting Manager
141,Project Sales Engineer - Paints,National Paints ,8 hours ago,"Obour City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Sales/Retail Engineering - Other Engineering Sales sales skills Project Management Paints Construction Project
142,Reading Teacher,Sama International College ,8 hours ago,"Shorouk City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Education/Teaching Reading Education English Teaching
143,Co English Teacher for KG,Sama International College ,8 hours ago,"Shorouk City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Education/Teaching English Teaching English Teacher Education Teaching
144,Area Manager ( Retail Background - Tanta & Mansoura Residents Only ),Dawi Clinics ,8 hours ago,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,Operations/Management Sales/Retail Experience Management Retail sales skills Sales Sales Target Healthcare
145,PHP Developer,Tech 101 ,8 hours ago,"Cairo, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,IT/Software Development AJAX APIs Computer Science CSS Development HTML Information Technology (IT) PHP Software
146,Purchasing Specialist,etisal for advanced industries  ,8 hours ago,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Logistics/Supply Chain Purchasing/Procurement Logistics Purchasing Supply Chain Procurement
147,3D Designer for 3D Printing,Gazelle 3D Tech ,8 hours ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Creative/Design/Art Design 3ds Max SolidWorks AutoCAD 3D Design product design Industrial Design 3d print Creative
148,SEO Specialist,Travolic.LLc ,8 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Senior Management,2 - 4 Yrs of Exp,Marketing/PR/Advertising SEO PPC Digital Marketing Google Analytics Website Analytics Keyword Research Search Engine Content Online Campaigns
149,Warehouse Specialist,Wham Clinics  ,8 hours ago,"Sidi Bishr, Alexandria, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,males_only Administration Logistics/Supply Chain Purchasing/Procurement inventory Logistics Supply Chain Warehouse Warehousing MS Office Analysis
150,Youth Welfare Specialist,May University in Cairo ,9 hours ago,"15th May City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Administration Youth Welfare Specialist Admin University 15 May City Student Activity
151,SEM Specialist,Travolic.LLc ,9 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Senior Management,2 - 4 Yrs of Exp,Marketing/PR/Advertising SEM SEO PPC Digital Marketing Google Ads Google Analytics Website Analytics SEMrush
152,Junior media buyer,Horizon Chemical for Special Chemicals  ,9 hours ago,"Alexandria, Egypt ",Full Time,Entry Level,2 - 7 Yrs of Exp,Business Development Logistics/Supply Chain Marketing/PR/Advertising Media Buying media campaigns Google Ads facebook Ads Marketing
153,Quality Engineer,Alstom ,9 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Quality Engineering - Mechanical/Electrical Electrical Electromechanical Engineering Industrial material Quality Assurance quality
154,Research and Development Director,Ascom ,9 hours ago,"New Menia, Minya, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,R&D/Science Business Development Analyst/Research Chemical Formulation Business Development
155,Sales Account Manager,Injaz Digital  ,9 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales sales skills Sales Target Marketing account manager business Business Administration
156,Senior Content Creator,Cizaro  ,9 hours ago,"New Cairo, Cairo, Egypt ",Full TimeWork From Home,Experienced,2 - 4 Yrs of Exp,females_preferred Writing/Editorial Marketing/PR/Advertising Media/Journalism/Publishing Content Creation Content copywriter Copywriting Editing Marketing Social Media
157,Business Developer,Keys Group Services ,9 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Business Development Marketing/PR/Advertising Sales/Retail Business Development sales skills Sales Target media Marketing Social Media
158,Procurement Engineer,R & E Petroleum Services ,9 hours ago,"Alexandria, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,Purchasing/Procurement Engineering - Mechanical/Electrical Engineering - Oil & Gas/Energy Engineering Mechanical Engineering Procurement Purchasing Supply Chain offshore
159,HR Business Partner,Powerline ,9 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,Administration Human Resources Operations/Management Human Resources (HR) Business Administration Communication Recruitment Personnel Leadership Administration
160,Senior pre-sales,International Business Systems I.B.S. ,9 hours ago,"Mokattam, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,Sales/Retail Sales sales skills Pre-Sales
161,Digital Marketing Specialist,Confidential ,9 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Marketing/PR/Advertising Sales/Retail Media/Journalism/Publishing campaigns Communication Digital Marketing Marketing SEO Social Media Content
162,System Engineer,iNetwork Solutions ,9 hours ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,IT/Software Development Information Technology (IT) Microsoft system
163,Maintenance Manager,Talaat Moustafa Group ,9 hours ago,"Madinaty, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Installation/Maintenance/Repair Operations/Management Engineering - Mechanical/Electrical Engineering Maintenance MAINTENANCE MANAGER Manager Management Mechanical Engineering
164,Science Teacher - Middle School - French Speaker,Groupe Oasis Scolaire ,9 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,R&D/Science Education/Teaching Training/Instructor French Biology Education Chemistry Teaching
165,Python Developer,OdooTec ,9 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Odoo Django CSS Software Development Information Technology (IT) Python Programming
166,Real Estate Agent,Beit Network For Real Estate ,9 hours ago,"Sheikh Zayed, Giza, Egypt ",Internship,Entry Level,0 - 1 Yrs of Exp,Sales/Retail Real Estate Real Estate Agent Sales sales skills Sales Target
167,Real Estate Agent,Beit Network For Real Estate ,9 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,0 - 6 Yrs of Exp,Sales/Retail Real Estate Sales sales skills Sales Target Target Skills
168,"Arabic Teacher For Grade 6 , 7 , 8",Sama International College ,9 hours ago,"Shorouk City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Education/Teaching Arabic Teaching Education
169,Senior Back End Developer,Youxel ,9 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Back End Backend Development Web Development Computer Science Information Technology (IT) .NET C# ASP.NET
170,Fleet Manager,Confidential ,10 hours ago,"Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Operations/Management Fleet Fleet Management Logistics
171,ABAP Consultant,Confidential ,10 hours ago,"Cairo, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,IT/Software Development Strategy/Consulting Engineering - Telecom/Technology ABAP SAP SAP Fiori SAP Program SAP ABAP
172,HR Manager,InterFood Egypt ,10 hours ago,"Tanta, Gharbia, Egypt ",Full Time,Manager,8 - 15 Yrs of Exp,Administration Human Resources Operations/Management Hr manager Human Resources (HR) HR Human Resources
173,Body & Paint Workshop Engineer (Heavy Trucks),Kasrawy Group ,10 hours ago,"Abu Rawash, Giza, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,Engineering - Mechanical/Electrical Engineering - Other body and paint Automotive Mechanical Mechanical Engineering Paint Engineering
174,Admission Assistant for Entry Tests - French/English/Speakers,Groupe Oasis Scolaire ,10 hours ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,Administration Administration School Education French
175,Material Planner Engineer, Devash control system ,10 hours ago,"Alsadat City, Monufya, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Mechanical/Electrical Electrical Engineering Electrical Analytical Skills
176,Customer Relationship Manager,COC ,10 hours ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,females_only Customer Service/Support Marketing/PR/Advertising Customer Care Communication
177,Social Media Specialist,COC ,10 hours ago,"Downtown, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,Marketing/PR/Advertising Digital E-Marketing media Online Marketing Social Media social Skills
178,Fleet Maintenance Manager,Confidential ,10 hours ago,"Cairo, Egypt ",Full Time,Manager,4 - 6 Yrs of Exp,Operations/Management Fleet Fleet Management Leadership Maintenance Operations
179,internal Audit section head,Al monairy ,10 hours ago,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Accounting/Finance Operations/Management Accounting Auditing CIA excel Finance Internal audit Internal Control Audit
180,IT Help Desk,alfanar ,10 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,IT/Software Development Computer Science Help desk Software Engineering Troubleshooting
181,Accounting Clerk,Egycross Assistance ,10 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Accounting/Finance Accounting Commerce
182,Receptionist,Elite Education Group ,10 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Other Admin Front Office receptionist
183,French Sales Specialist,Mobis ,10 hours ago,"Ameria, Alexandria, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Customer Service/Support Sales/Retail french Communication skills Sales sales skills Sales Target Microsoft Office Alexandria
184,Music Teacher,Elite Education Group ,10 hours ago,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Education/Teaching Music music teaching Education
185,Cashier,Rashideen Egypt for Trade  ,10 hours ago,"Sharqia, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,males_only Accounting/Finance Accounting SAP Cashier Finance excel Financial Analysis
186,French Sales Advisor,Webhelp ,10 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 1 Yrs of Exp,Sales/Retail french Sales advisor sales skills Sales Target Advisor Sales
187,PHP Web Developer,Confidential ,10 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Web Development PHP Software Development Computer Science HTML CSS javaScript
188,Customer Value Management Assistant Manager,Fawry for Banking Technology and Electronic Payments S.A.E ,10 hours ago,"Smart Village, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,Customer Service/Support Operations/Management Analysis Marketing business excel Customer Care Customer Support
189,Draftsman .,Melco,10 hours ago,"Dokki, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Administration Engineering - Construction/Civil/Architecture Creative/Design/Art AutoCAD Design Draftsman Engineering Revit
